的 hapi
一 m
是 amyo
在 klg
不 mf
了 nn
有 kb
和 hdr
人 o
這 yymr
中 l
大 k
為 iknf
上 ym
個 owjr
國 wirm
我 hqi
以 vio
要 mwv
地 gpd
他 opd
時 agdi
來 doo
用 bq
們 oan
生 hqm
到 mgln
作 ohs
出 uu
就 yfiku
分 csh
於 ysoy
對 tgdi
成 ihs
會 omwa
可 mnr
主 yg
發 nonhe
年 oq
動 hgks
同 bmr
工 mlm
也 pd
能 ibpp
下 my
過 ybbr
子 nd
說 yrcru
產 yhhqm
種 hdhjg
行 hommn
而 mbll
方 yhs
面 mwyl
後 hovie
多 nini
定 jmyo
學 hbnd
法 egi
所 hshml
民 rvp
得 hoami
經 vfmvm
十 j
三 mmm
之 ino
進 yog
等 hgdi
部 yrnl
度 ite
家 jmso
電 mbwu
力 ks
如 vr
水 e
化 op
高 yrbr
都 janl
自 hbu
二 mm
理 mgwg
起 goru
小 nc
長 smv
物 hqphh
現 mgbuu
實 jwjc
加 ksr
量 amwg
兩 mlbo
體 bbtwt
機 dvio
還 ywlv
當 fbrw
使 ojlk
點 wfyr
從 hoooo
業 tctd
本 dm
重 hjwg
去 gi
把 qau
性 phqm
好 vnd
應 igp
開 anmt
它 jp
合 omr
因 wk
制 hbln
由 lw
其 tmmc
些 ypmm
然 bkf
前 tbln
外 niy
天 mk
政 mmok
四 wc
日 a
那 sqnl
社 ifg
義 tghqi
事 jlln
平 mfj
形 mthhh
相 dbu
全 omg
裏 ywgv
間 ana
樣 dtge
表 qmv
與 hxyc
關 anvit
各 her
新 ydhml
線 vfhae
內 ob
數 lvok
正 mylm
心 p
反 me
你 onf
明 ab
看 hqbu
原 mhaf
又 nk
麼 idvi
利 hdln
比 pp
或 irm
但 oam
質 hlbuc
氣 onfd
第 hnlh
向 hbr
道 ythu
命 omrl
此 ymp
沒 epe
變 vfok
條 olod
只 rc
結 vfgr
解 nbshq
問 anr
意 ytap
建 nelq
月 b
公 ci
無 otf
軍 bjwj
很 hoav
情 pqmb
者 jka
最 asje
立 yt
代 oip
想 dup
已 su
通 ynib
提 qamo
直 jbmm
題 aombc
黨 fbrwf
程 hdrhg
展 stv
五 mdm
果 wd
料 fdyj
象 napo
員 rbuc
革 tlj
位 oyt
入 oh
常 fbrlb
文 yk
總 vfhwp
次 mmno
品 rrr
式 ipm
活 ehjr
設 yrhne
及 nhe
管 hjrr
特 hqgdi
件 ohq
求 ije
老 jkp
頭 mtmbc
基 tcg
資 mobuc
邊 yhus
流 epiv
路 rvher
級 vfnhe
少 fh
圖 wryw
山 u
統 vfpiu
接 qytv
知 okr
較 jjyck
將 vmbdi
組 vfbm
見 buhu
計 yrj
別 rsln
她 vpd
手 q
角 nbg
期 tcb
根 dav
論 yromb
運 ybjj
農 twmmv
指 qpa
幾 vio
九 kn
區 srrr
強 nili
放 ysok
決 edk
西 mcw
被 ldhe
做 ojrk
必 ph
戰 rji
先 hghu
則 bcln
任 omg
取 sje
據 qypo
回 wr
給 vfomr
